GFDC-number,concept-id,Keytype,indexTerm-en,indexTerm-de,indexTerm-fi,note,fi-new-term
32,,,harvesting,,Puunkorjuu ,,f
32,,,harvesting methods,,Puunkorjuumenetelmät ,,f
34,,,intermediate storage,,Välivarasto ,,
75,,,stumpage sale,,Pystykauppa ,,
79,,,forest industry,,Metsäteollisuus ,,f
83,,,wood products industry,,Puutuoteteollisuus ,,f
88,,,wood-free,,Puuvapaa ,,f
95,,,forest taxation,,Metsäverotus ,,f
121,,,habitat of special importance,,Erityisen tärkeä elinympäristö,,f
121,,,key biotope,,Avainbiotooppi ,,f
121,,,,,luonnon monimuotoisuus,,f
221,,,regeneration felling,,Uudistushakkuu ,,f
228,,,mature (forest),,Hakkuukypsä ,,f
228,,,regeneration-ready (forest),,Uudistuskypsä ,,f
231,,,natural regeneration,,Luontainen uudistaminen ,,f
232,,,cultivation,Kultivierung,Viljely ,,f
236,,,young stand improvement,,young stand improvement,,f
243,,,cutting of hold-overs,,Ylispuuhakkuu ,,f
243,,,intermediate felling,,Kasvatushakkuu ,,
245,,,de-branching,,Karsinta ,,f
261,,,periodic cover silviculture,,Jaksollinen metsänkasvatus,,f
307,,,mechanized harvesting,,Koneellinen puunkorjuu ,,
321,,,stand marked for harvesting,,Leimikko ,,
323,,,manual harvesting,,Manuaalinen puunkorjuu ,,f
325,,,assortment method,,Tavaralajimenetelmä,,f
325,,,cut to length method,,Tavaralajimenetelmä,,f
325,,,tree-with-root system,,Kokorunkomenetelmä ,,f
331,,,logging residue,,Hakkuutähde ,,f
436,,,brush fire,,Kulo,,f
436,,,prescribed fire,,kulotus,,f
535,,,number of stems,,Runkoluku ,,f
561,,,average growth,,Keskikasvu,,f
561,,,average volume,,Keskitilavuus,,
615,,,forest compartment,,metsikkökuvio ,,f
615,,,forest holding,,Metsälö ,,f
624,,,forest planning,,Metsäsuunnittelu ,,f
626,,,auditor,,auditoija,,
645,,,(empty),,,,
753,,,timber sales agreement,,Puukauppa ,,f
756,,,sale at delivered price,,Hankintakauppa,,f
832,,,mechanical forest industry,,Mekaaninen metsäteollisuus ,,f
841,,,impregnated wood,,Kestopuu ,,f
853,,,timber grades,,Puutavaralajit ,,f
861,,,chemical forest industry,,Kemiallinen metsäteollisuus ,,f
861,,,manufacturing of paper,,Paperin valmistus ,,f
