fdcNumber,date-eng,date-ger,date-fre,date-fin,date-swe,date-sp,RecordType,BT,seeAlso,prefLabel-eng,includingNote-eng,scopeNote-eng,fdcNumber-fi,prefLabel-fin,includingNote-fin,scopeNote-fin,fdcNumber-de,prefLabel-ger,includingNote-ger,scopeNote-ger,dcoNumber-fre,prefLabel-fre,includingNote-fre,scopeNote-fre,prefLabel-swe,includingNote-swe,scopeNote-swe,prefLabel-slv,includingNote-slv,scopeNote-slv,prefLabel-spa,includingNote-spa,scopeNote-spa,old-classnames
0,1954/1983,1992,,1966/1989,1966,1959,,,,"FORESTS, FORESTRY AND THE UTILIZATION OF FOREST PRODUCTS",,,0,"METSÄT, METSÄTALOUS JA METSÄTUOTTEIDEN KÄYTTÖ. METSÄKIRJALLISUUS, YLEISTÄ, SANAKIRJAT, BIBLIOGRAFIAT, KATSAUKSET",,"[Luku 0 on luokittelun yleisluokka: sitä ei pidä jakaa, paitsi luokittelun lisälukujen tai ristiinviittauksien avulla. Esimerkiksi luokat 01/09 ovat kiellettyjä, mutta yhdistelmässä kuten 0—011 (metsäterminologia)  tai 0(031) (metsäsanakirja) ne ovat sallittuja. Lisälukuina voi käyttää kaikkia UDK –luokituksen lisälukuja.]",0,"WALD, FORSTWIRTSCHAFT UND VERWENDUNG DER FORSTPRODUKTE",Allgemeine Darstellungen über den Wald und die Forstwirtschaften bestimmter Gebiete siehe 904; Monographien einzelner Arten oder anderer taxonomischer Gruppen siehe die Bemerkung zu 17],"[NB. Die Ziffer 0 ist der allgemeinste Titel der Klassifikation: sie darf lediglich mittels Hilfszahlen oder Kreuzverweisen unterteilt, d.h. Ziffern 01/09 dürfen nicht angewendet werden; jedoch sind Verbindungen wie z.B. 0--011 (=Forstterminologie) und 0 (031) (=Enzyklopädie des Forstwesens) zulässig. Hilfszahlen allgemeiner Ordnung --01/--09 siehe UDCSummary oder Anhang A (S. II/81 in die Buch). Die Hilfszahlen zur Kennzeichnung der äußeren Form der Veröffentlichungen und die geographischen Hilfszahlen wurden aus den UDK-Ziffern (0/9) übernommen. Eine Auswahl derselben ist im Anhang B (S. II/87 in die Buch) wiedergegeben.]",0,"FORÊTS, TECHNIQUE FORESTIÈRE ET UTILISATION DES PRODUITS FORESTIERS",,"[Pour les études générales sur la forêt et la technique forestière, par région, voir 904 ; pour les monographies générales de chaque espèce ou autres groupes taxonomiques, voir note à 171] N.B. — Le chiffre 0 est la division la plus générale du système de","SKOGAR, SKOGSBRUK OCH SKOGSPRODUKTERNAS UTNYTTJANDE","(Obs. - Talet 0 ar systemets mest vittomfattande grupp: den far uppdelas i underavdelningar endast med hjälp av allmänna tilläggstal eller korshänvisningar, d.v.s. talen 01/09 är ej tillåtna, men kombinationer sådana som 0--011 ( = skoglig terminologi) och 0 ( 031) ( = skoglig encyklopedi) ar tillåtna. For tilläggstal för ämne --01/--09 hänvisas till bilaga A. For tilläggstal för form och ort används UDK-talen (0/9). Ett urval av dessa ges i bilaga B.)",[För allmänna regionala framställningar om skogar och skogsbruk hänvisas till 904; för allmänna monografier over enstaka arter eller andra taxonomiska grupper till anmärkning till 17],"GOZDOVI, GOZDARSTVO IN UPORABA GOZDNIH PRIDELKOV","N.B. Vrstilec 0 označuje najsplošnejši razdelek v klasifikajcisjski shemi: razčlenjujemo ga lahko samo s privesnimi vrstilci ali pa z vzkrižnimi napotili, to pa pomeni, da vrstilcev 01/09 samih ne smemo uporabljati. Uporabljamo lahko le povezave kot na primer: 0--011 (=gozdarska terminologija) in 0(031) (=Enciklopedija gozdarstva). Stvarni privesni vrstilci so v dodatku A (str.). Privesni vrstilci za obliko in za kraj so iz UDK (0/9), njihov izbor je podan v dodatku B (str.)",[Splošne prikaze gozdov in gozdarstva glej pri vrstilcu 904; za monografije o posameznih vrstah ali o taksonomskih skupinah vrst pa glej razlago pri vrstilcu 17],"BOSQUES, SILVICULTURA Y UTILIZACIÓN DE PRODUCTOS FORESTALES",,"Para asuntos generals del monte o técnica forestal de tipo regional, véase 904|La cifra 0 es el encabezamiento más general del sistema; en ningún caso debe subdividirse, excepto mediante números auxiliares o referencias cruzadas; así, pues, los encabezamientos 01/09 están prohibidos, pero se permiten combinaciones tales como 0--011 (==terminologia forestal) y 0(031) (=enciclopedia forestal)|Ver UDCSummary para los números auxiliares de tema --01/--09 ,  para números auxiliares de forma (0/9) y una relación de estos últimos.",
1,1954,1992,1960,1966,1966,1959,,,,FACTORS OF THE ENVIRONMENT. BIOLOGY,,,1,YMPÄRISTÖTEKIJÄT. BIOLOGIA,(sisältää Metsäekologia. Dendrologia),,1,STANDORTSFAKTOREN. BIOLOGIE,,,1,FACTEURS DU MILIEU. BIOLOGIE,,,MILJÖFAKTORER. BIOLOGI,,,DEJAVNIKI OKOLJA. BIOLOGIJA,Pregled razdelkov drugega reda,,FACTORES AMBIENTALES. BIOLOGIA FORESTAL,,,
10,1983,1992,,2016,1966,2017,,1,,Environment: general,,,10,Ympäristö: yleistä,,,10,Standortsfaktoren: Allgemeines,,,10,Facterur du milieu: généralites,,,Miljöfaktorer: allmänt,,,Splošno,,,Medio Ambiente: general,,,
101,1983,1992,,2016,1966,2017,,10,,Site studies and site surveys in the broadest sense ,,"[For particular aspects, see the appropriate sub-divisions of the system, e.g. for soil surveys see 114.7]",101,Kasvupaikkatutkimukset ja -kartoitukset laajassa mielessä,kartoitukset,"Yksityiskohdat, katso soveltuva alaluokka, esim. maaperäkartoitukset 114.7",101,Standortsuntersuchungen und Standortserkundungen im weitesten Sinne. ,(einschl. Kartierung),"[Teilgebiete siehe diein Frage kommenden Unterteilungen des Systems, z.B. Bodenerkundung 114.7].",101,Etudes du milieu et reconnaissances du milieu au sens large,,"[Pour les aspects particuliers, voir les subdivisions adéquates de la classification, par ex. pour reconnaissances pédologiques voir 114.7]",Ståndortsstudier och översikter i vidaste bemärkelse,,"[Speciella synpunkter, se respektive underavdelning i systemet, t.ex. för markkartering 114.7]",,,,Estudios de sitio y estudios de campo y el sentido más amplio,cartografía,,
11,1954,1992,1960,1966,1966,1959,,1,,"Site factors: Climate, situation, soil, hydrology (water conservation, soil conservation and erosion) ",,,11,"Kasvupaikkatekijät: ilmasto, sijainti, maaperä, hydrologia (maan ja vesien suojelu ja eroosio)",,,11,"Standortsfaktoren: Klima, Lage, Boden, Hydrologie ","(Pflege des Wasserhaushalts, Bodenpflege und Erosion)",,11,"Facteurs du milieu: Climat, situation, sol, hydrologie (Conservation de l'eau, conservation du sol et érosion)",,,"Ståndortsfaktorer: klimat, topografiskt läge, mark, hydrologi","Inkluderar: vattevård och -skydd, markvård, erosion",,"Rastiščni dejavniki: podnebje, položaj, tla hidrologija (tudi ohranjevanje vode, ohjranjevanje tal in erozija)",,,"Factores locale: clima, situación, suelo e hidrologia (conservación del agua, erosión y conservación del suelo)",,,
111,1954,1992,1960,1985,1966,1959,,11,,The atmosphere. Meteorology. Climate and microclimate ,,"[Arrange in parallel with UDC 551.5, which see for more detailed subdivisions if needed. For damage by atmospheric factors see subheads of 42; for atmospheric factors  contributing to forest fire danger see 431]",111,Ilmakehä. Meteorologia. Metsäilmasto ja mikroilmasto.,,[Tarkempi jaottelu UDK 551.5 mukaisesti; Ilmakehän aiheuttamat tuhot kts. 42; Ilmakehän aiheuttamat metsäpalot kts. 431],111,Die Atmosphäre. Meteorologie. Klima und Mikroklima,,"[Gleichlaufend mit UDK 551.5 unterteilt; falls nötig, können dort weitergehende Unterteilungen nachgesehen werden;  Durch atmosphärische Ursachen bedingte Schäden siehe Untertitel von 42; Durch atmosphärische Ursachen bedingte Waldbrandgefahr siehe 431.]",111,L'atmosphère. Météorologie. Climat et microclimat,"(Subdivisé parallèlement à CDU 551.5, à consulter pour des subdivisions plus détaillées si nécessaire)","[Pour dommages causés par des facteurs atmosphériques, voir les subdivisions de 42, pour les facteurs atmosphériques contribuant au danger d'incendie, voir 431]",Atmosfären. Meteorologi. Klimat och mikroklimat,"(Underavdelningar analogt med UDK 551.5; se där beträffande mera detaljerad klassifikation, om erforderligt) ","[Skador genom atmosfäriska faktorer, se underavd. till 42; atmosfäriska faktorers roll för skogsbrandfara se 431]",,,,La atmósfera. Meteorologia. Clima y microclima,,"Subdivido de acuerdo con UDC 551.5, que debe consultarse si se necesitan subdivisiones más detalladas|Para daños producidos por factores atmosféricos, véanse los subtítulos del 42; para factores atmosféricos que contribuyan al riesgo de incendios, véase 431",
111.0,1954,1992,1960,2016,1966,1959,,111,,"Practical meteorology (methods, data, forecasts, etc.)",,,111.0,"Käytännön meteorologia (menetelmät, data, ennusteet, jne.)",,,111.0 ,Praktische Meteorologie ,"(Methoden, Ergebnisse,Vorhersagen usw.)",,111.0,"Météorologie pratique (méthodes, données, prévisions, etc.)",,,"Praktisk meteorologi, synoptisk meteorologi ","(metoder, data, prognoser ·m.m.)",,,,,Meteorología práctica,"(métodos, datos y pronósticos, etc.)",,
111.1,1954,1992,1960,2016,1966,1959,,111,,"Composition, structure, mechanics and thermodynamics of the atmosphere in general",,,111.1,"Ilmakehän koostumus, rakenne, mekaniikka ja termodynamiikka",,,111.1 ,"Zusammensetzung, Struktur, Mechanik und Thermodynamik der Atmosphäre im allgemeinen",,,111.1,"Composition, structure, mécanique et thermodynamique de l'atmosphère en général",,,"Atmosfärens struktur, mekanik och termodynamik i allmänhet",,,,,,"Composición, estructura, mecánica y termodinámica de la atmósfera en general",,,
111.104,1954,1992,1960,2016,1966,1959,,111.1,,Composition,(atmosphere),,111.104,Koostumus,(ilmakehä),,111.104 ,Zusammensetzung,,,111.104,Composition,,,Atmosfärens sammansättning,,,,,,Composición,,,
111.105,1954,1992,1960,2016,1966,1959,,111.1,,General structure,(atmosphere),,111.105,Yleinen rakenne,(ilmakehä),,111.105 ,Allgemeine Struktur,,,111.105,Structure générale,,,Atmosfärens allmänna struktur,,,,,,Estructura general,,,
111.11,1954,1992,1960,2016,1966,1959,,111.1,,"Mechanics, thermodynamics",(atmosphere),,111.11,"Mekaniikka, termodynamiikka",(ilmakehä),,111.11 ,Mechanik und Thermodynamik der Atmosphäre im allgemeinen,,,111.11,"Mécanique, thermodynamique",,,Atmosfärens mekanik och termodynamik i allmänhet,,,,,,Mecánica y termodinámica,,,
111.13,1954,1992,1960,2016,1966,1959,,111.1,,General circulation,(atmosphere),,111.13,Kiertoliike,(ilmakehä),,111.13 ,Allgemeine Zirkulation der Atmosphäre,,,111.13,Circulation en général,,,Atmosfärens allmänna cirkulation,,,,,,Circulación general,,,
111.15,2006,2006,2007,2016,1966,1959,GFDC06,111.1,111.5,Atmospheric formations and disturbances. Changes,,[Arrange in parallel with UDC 551.5],111.15,Ilmakehän muodostumat ja häiriöt. Muutokset,(ilmakehä),[Jaa luokkiin kuten UDK 551.5 Meteorologia],111.15 ,Atmosphärische Bildungen und Störungen. Veränderungen. ,,[gleichlaufend wie UDK 551.5 zu unterteilen],111.15 ,Formations et des perturbations atmosphériques. Changements,,,Atmosfäriska bildningar och störningar,,,,,,Estados atmosféricos y perturbaciones,,,
111.2,1954,1992,1960,2016,1966,1959,,111,,Radiation and temperature,,,111.2,Säteily ja lämpötila,,,111.2 ,Strahlung und Temperatur,,,111.2,Radiation et température,,,Strålning och temperatur,,,,,,Irradiación y termperatura,,,
111.21,1954,1992,1960,2016,1966,1959,,111.2,,Radiation,,,111.21,Säteily,,,111.21 ,Strahlung,,,111.21,Radiation,,,Strålning,,,,,,Irradiación,,,
111.211,1954,1992,1960,2016,1966,1959,,111.21,,Solar radiation,,,111.211,Auringonsäteily,,,111.211 ,Sonnenstrahlung,,,111.211,Solaire,,,Solstrålning,,,,,,Solar,,,
111.212,1954,1992,1960,2016,1966,1959,,111.21,,Terrestrial radiation,,,111.212,Maaperän säteily,,,111.212 ,Irdische Strahlung,,,111.212,Terrestre,,,Terrester strålning,,,,,,Terrestre,,,
111.213,1954,1992,1960,2016,1966,1959,,111.21,,"Absorption, scattering and transmission in the atmosphere",,,111.213,"Absorptio, sironta ja transmissio ilmakehässä",,,111.213 ,"Absorption, Ausstrahlung und Zerstreuung in der Atmosphäre",,,111.213,"Absorption, dispersion et transmission dans l'atmosphère",,,"Absorption, spridning och transmission i atmosfären",,,,,,"Absorción, difusión y transmisión en la atmósfera",,,
111.216,1954,1992,1960,2016,1966,1959,,111.21,,Radiation of particular wavelengths,,,111.216,Säteily tietyillä taajuuksilla,,,111.216 ,Strahlung bestimmter Wellenlängen,,,111.216,Radiations de longueurs d'onde particulières,,,Strålningen av bestämda våglängder,,,,,,Irradioción de determidadas longitudes de onda,,,
111.219,1954,1992,1960,2016,1966,1959,,111.21,,Other radiations,,,111.219,Muut säteilyt,,,111.219 ,Andere Strahlungen,,,111.219,Autres radiations,,,Övrig strålning,,,,,,Otras radiaciones,,,
111.24,1954,1992,1960,2016,1966,1959,,111.2,,Air temperature,,,111.24,Ilman lämpötila,,,111.24 ,Lufttemperatur,,,111.24,Température de l'air,,,Lufttemperatur,,,,,,Temperatura del aire,,,
111.4,1954,1992,1960,2016,1966,1959,,111,,Atmospheric pressure,,,111.4,Ilmanpaine,,,111.4 ,Luftdruck,,,111.4,Pression atmosphérique,,,Lufttryck,,,,,,Presión atmosférica,,,
